gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.849868677924000192e+06,4.656268973274214193e+06,3.287202654171095695e+06,-4.733330097407787207e+00,1.760572713212065876e+00,-2.306900658225341516e-02
-2.849869570687501691e+06,4.656275716931257397e+06,3.287190219590163324e+06,-4.701316175356873295e+00,1.665371010658293960e+00,1.054845869414462040e-02
-2.849878882213501260e+06,4.656271312684164383e+06,3.287200427345050965e+06,-4.732106413578404336e+00,1.664555272372324701e+00,1.889336060678623377e-02
-2.849878255499773659e+06,4.656256484222279862e+06,3.287199875642887782e+06,-4.712213963589447552e+00,1.602421343718524849e+00,5.505157344295549425e-04
-2.849878762609339319e+06,4.656272936273450963e+06,3.287194662853358779e+06,-4.650431362826402903e+00,1.757703355027877556e+00,-6.569627186082351022e-02
-2.849882094076476991e+06,4.656273558423658833e+06,3.287177150672968943e+06,-4.721289868576366011e+00,1.595876986919057883e+00,-7.234635965822967807e-02
-2.849878673471495975e+06,4.656262757099706680e+06,3.287190213956728112e+06,-4.808025175442608656e+00,1.586781882110285924e+00,8.735160157947874371e-02
-2.849872933634203393e+06,4.656273567159652710e+06,3.287189657344826963e+06,-4.715912059105713539e+00,1.663356148977292337e+00,6.206125225370201504e-02
-2.849879851465242449e+06,4.656265261814462952e+06,3.287185656972156372e+06,-4.712857448415859629e+00,1.690066140079761192e+00,1.413399025215317326e-03
-2.849878162594634108e+06,4.656268917099178769e+06,3.287196694494629279e+06,-4.802377158717228589e+00,1.628077215362434993e+00,1.170112610638303630e-01
-2.849877215888563078e+06,4.656265951724234037e+06,3.287183567399815191e+06,-4.804651396621020254e+00,1.607178127007915958e+00,-4.583161293615053977e-02
-2.849878744698027149e+06,4.656259235821933486e+06,3.287194147130471654e+06,-4.703986471805675862e+00,1.590097790780575782e+00,-1.012835310633897375e-02
-2.849872152030433062e+06,4.656270107525106519e+06,3.287191861411342863e+06,-4.703392552843033592e+00,1.525041948377340528e+00,4.280012290604312541e-02
-2.849870891874535475e+06,4.656274776646308601e+06,3.287198193968595006e+06,-4.679293706910472750e+00,1.525536184447277677e+00,3.748400499230181843e-02
-2.849874056080508977e+06,4.656264616262697615e+06,3.287196969810937066e+06,-4.759470035988543124e+00,1.628485982273768951e+00,-3.266625320371620983e-02
-2.849874552270872053e+06,4.656276425283238292e+06,3.287191135361362249e+06,-4.849178822464494942e+00,1.625076642821073669e+00,-6.156573346127922064e-02
-2.849876584628141019e+06,4.656265116930540651e+06,3.287194181887920480e+06,-4.818990926614101333e+00,1.533715115009055774e+00,-7.165648568765070614e-02
-2.849884931423096918e+06,4.656276655161086470e+06,3.287204387995573692e+06,-4.731886001786651974e+00,1.557669056501520544e+00,-2.953413220035309289e-02
-2.849878329094233457e+06,4.656267069687292911e+06,3.287187509553338867e+06,-4.763420939420274891e+00,1.547429789068480277e+00,-5.696069949984370467e-02
-2.849874940515799448e+06,4.656271057530216873e+06,3.287188413890858181e+06,-4.676446609836651724e+00,1.530245227835780542e+00,5.192867090463046398e-02
-2.849879317207214423e+06,4.656261400656751357e+06,3.287201033489862457e+06,-4.820718827094357728e+00,1.617816033641843010e+00,3.345287924814402316e-04
-2.849868155044707470e+06,4.656268773593811318e+06,3.287212680311879143e+06,-4.759563571117544356e+00,1.438147622279924764e+00,1.113400867560821426e-02
-2.849884545542504638e+06,4.656274698538757861e+06,3.287191147829861380e+06,-4.768164307073201158e+00,1.549567284198605455e+00,-4.180384689024144867e-02
-2.849878788394144736e+06,4.656268497740819119e+06,3.287186241603396367e+06,-4.769618025397712735e+00,1.541609794885915541e+00,6.025041302555375622e-02
-2.849870365383032709e+06,4.656265746857621707e+06,3.287206555140675977e+06,-4.753000862307547258e+00,1.503945894404202122e+00,-3.105506837482671645e-02
-2.849880215684197843e+06,4.656272819609357975e+06,3.287188425135072786e+06,-4.812495133172300044e+00,1.518772504777972321e+00,-8.908565924339439945e-02
-2.849871272633351386e+06,4.656272651703106239e+06,3.287184050683181267e+06,-4.773079472717631333e+00,1.503143287739835410e+00,-1.240296134535731794e-02
-2.849871109151049051e+06,4.656269766225528903e+06,3.287183579639199190e+06,-4.817604392331583441e+00,1.440635105964711560e+00,-5.836148064126300827e-02
-2.849885326663486660e+06,4.656272861214408651e+06,3.287187584648632910e+06,-4.857909005962614657e+00,1.375622122588090468e+00,2.428263223947589242e-02
-2.849880312990126200e+06,4.656263503155040555e+06,3.287196602557766717e+06,-4.720752682491477614e+00,1.433626355894969340e+00,5.930704545989894105e-03
-2.849865267132911365e+06,4.656272379488349892e+06,3.287185761119992472e+06,-4.849930912501039693e+00,1.512101933208966686e+00,5.922820083509516831e-02
-2.849882533978681546e+06,4.656269320759733208e+06,3.287180044342549518e+06,-4.813413827426182401e+00,1.468054923734597006e+00,-5.672265287500947301e-02
-2.849869146907981019e+06,4.656280100035911426e+06,3.287202701803880744e+06,-4.710348805749814183e+00,1.418566880070876612e+00,-5.707741724341428707e-02
-2.849870665554579347e+06,4.656268156030892394e+06,3.287186728183086496e+06,-4.830221350433928862e+00,1.455637365190702859e+00,3.695921983543972583e-02
-2.849879849623186979e+06,4.656276817251894623e+06,3.287193387172422837e+06,-4.852343274570271703e+00,1.406850892928612762e+00,-7.687231331280319768e-02
-2.849875175280370284e+06,4.656269360001957975e+06,3.287183973374180496e+06,-4.762185629638033824e+00,1.345638494247752615e+00,1.134308806000982424e-03
-2.849879170244565234e+06,4.656276374706940725e+06,3.287190721502573695e+06,-4.802433785228034324e+00,1.441707915964850706e+00,6.565651518030171663e-02
-2.849876943544142414e+06,4.656269421785587445e+06,3.287200790047627874e+06,-4.831062321646868440e+00,1.355999109212210785e+00,1.329999939755845129e-02
-2.849873563766041305e+06,4.656265298678450286e+06,3.287182734990576282e+06,-4.753548505238434529e+00,1.375866391677254219e+00,2.479206659693494741e-02
-2.849882290520627517e+06,4.656267193135337904e+06,3.287194250081137288e+06,-4.851220334879942087e+00,1.257584234015588276e+00,3.897942357928499413e-02
-2.849878571412733756e+06,4.656274097394519486e+06,3.287188005587827414e+06,-4.775824556577376256e+00,1.410085299145099391e+00,-2.065758970424505861e-02
