ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
2.420000000000294804e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.430000000000265103e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.440000000000238956e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.450000000000214939e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.460000000000193410e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.470000000000174012e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.480000000000156390e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.490000000000140901e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000126832e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.510000000000114184e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.520000000000102958e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.530000000000092797e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.540000000000083347e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.550000000000075318e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.560000000000067644e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.570000000000061036e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.580000000000054783e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.590000000000049596e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000044764e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.610000000000040288e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.620000000000036167e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.630000000000032756e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.640000000000029345e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.650000000000026645e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.660000000000023945e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.670000000000021956e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.680000000000019611e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.690000000000017621e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000016342e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.710000000000014708e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.720000000000013429e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.730000000000012150e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.740000000000010871e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000009948e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.760000000000009024e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.770000000000008100e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.780000000000007532e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.790000000000006963e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000006040e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.810000000000005471e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.820000000000004903e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.830000000000004690e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.840000000000004476e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.850000000000003908e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.860000000000003695e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.870000000000003482e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.880000000000003268e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.890000000000003411e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000003553e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.910000000000003340e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.920000000000003482e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.930000000000003624e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.940000000000003411e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.950000000000003553e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.960000000000003695e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.970000000000003482e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.980000000000003624e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.990000000000003411e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000003553e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.010000000000003695e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.020000000000003482e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.030000000000003624e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.040000000000003766e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.050000000000003553e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.060000000000003695e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.070000000000003837e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.080000000000003624e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.090000000000003766e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000003908e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.110000000000003695e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.120000000000003837e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.130000000000003624e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.140000000000003766e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.150000000000003908e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.160000000000003695e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.170000000000003837e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.180000000000003979e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.190000000000003766e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000003553e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.210000000000003695e+01,0.000000000000000000e+00,0.000000000000000000e+00
