ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
-2.838932623750875704e+06,4.666885967441934161e+06,3.297862294963122811e+06,1.731499999999732609e+02,1.681499999999721240e+02,1.681499999999721240e+02
-2.838930892250875477e+06,4.666887648941934109e+06,3.297863976463122759e+06,1.730999999999732495e+02,1.680999999999721126e+02,1.680999999999721126e+02
-2.838929161250875797e+06,4.666889329941933975e+06,3.297865657463122625e+06,1.730499999999732381e+02,1.680499999999721013e+02,1.680499999999721013e+02
-2.838927430750875734e+06,4.666891010441934690e+06,3.297867337963122409e+06,1.729999999999732267e+02,1.679999999999720899e+02,1.679999999999720899e+02
-2.838925700750875752e+06,4.666892690441934392e+06,3.297869017963122576e+06,1.729499999999732154e+02,1.679499999999720785e+02,1.679499999999720785e+02
-2.838923971250875853e+06,4.666894369941934012e+06,3.297870697463122662e+06,1.728999999999732040e+02,1.678999999999720671e+02,1.678999999999720671e+02
-2.838922242250875570e+06,4.666896048941934481e+06,3.297872376463122666e+06,1.728499999999731926e+02,1.678499999999720558e+02,1.678499999999720558e+02
-2.838920513750875834e+06,4.666897727441934869e+06,3.297874054963122588e+06,1.727999999999731813e+02,1.677999999999720444e+02,1.677999999999720444e+02
-2.838918785750875715e+06,4.666899405441934243e+06,3.297875732963122427e+06,1.727499999999731699e+02,1.677499999999720330e+02,1.677499999999720330e+02
-2.838917058250875678e+06,4.666901082941934466e+06,3.297877410463122651e+06,1.726999999999731585e+02,1.676999999999720217e+02,1.676999999999720217e+02
-2.838915331250875723e+06,4.666902759941934608e+06,3.297879087463122793e+06,1.726499999999731472e+02,1.676499999999720103e+02,1.676499999999720103e+02
-2.838913604750875849e+06,4.666904436441934668e+06,3.297880763963122386e+06,1.725999999999731358e+02,1.675999999999719989e+02,1.675999999999719989e+02
-2.838911878750875592e+06,4.666906112441934645e+06,3.297882439963122364e+06,1.725499999999731244e+02,1.675499999999719876e+02,1.675499999999719876e+02
-2.838910153250875883e+06,4.666907787941934541e+06,3.297884115463122725e+06,1.724999999999731131e+02,1.674999999999719762e+02,1.674999999999719762e+02
-2.838908428250875790e+06,4.666909462941934355e+06,3.297885790463122539e+06,1.724499999999731017e+02,1.674499999999719648e+02,1.674499999999719648e+02
-2.838906703750875778e+06,4.666911137441934086e+06,3.297887464963122737e+06,1.723999999999730903e+02,1.673999999999719535e+02,1.673999999999719535e+02
-2.838904979750875849e+06,4.666912811441934668e+06,3.297889138963122386e+06,1.723499999999730790e+02,1.673499999999719421e+02,1.673499999999719421e+02
-2.838903256250875536e+06,4.666914484941934235e+06,3.297890812463122420e+06,1.722999999999730676e+02,1.672999999999719307e+02,1.672999999999719307e+02
-2.838901533250875771e+06,4.666916157941934653e+06,3.297892485463122372e+06,1.722499999999730562e+02,1.672499999999719194e+02,1.672499999999719194e+02
-2.838899810750875622e+06,4.666917830441934057e+06,3.297894157963122707e+06,1.721999999999730449e+02,1.671999999999719080e+02,1.671999999999719080e+02
-2.838898088750875555e+06,4.666919502441934310e+06,3.297895829963122495e+06,1.721499999999730335e+02,1.671499999999718966e+02,1.671499999999718966e+02
-2.838896367250875570e+06,4.666921173941934481e+06,3.297897501463122666e+06,1.720999999999730221e+02,1.670999999999718852e+02,1.670999999999718852e+02
-2.838894646250875667e+06,4.666922844941934571e+06,3.297899172463122755e+06,1.720499999999730107e+02,1.670499999999718739e+02,1.670499999999718739e+02
-2.838892925750875846e+06,4.666924515441934578e+06,3.297900842963122763e+06,1.719999999999729994e+02,1.669999999999718625e+02,1.669999999999718625e+02
-2.838891205750875641e+06,4.666926185441934504e+06,3.297902512963122688e+06,1.719499999999729880e+02,1.669499999999718511e+02,1.669499999999718511e+02
